neighborhood,tract_id,intersection_area_m2,neighborhood_area_m2,tract_area_m2,frac_of_neighborhood,frac_of_tract
Brauers,51760020300,2.0351486779312964,222003.04416249588,811424.7318650569,9.167210682217774e-06,2.5081176331087595e-06
Brauers,51760020200,0.7778327740104426,222003.04416249588,1001404.1242280848,3.5037031899486265e-06,7.767421315645386e-07
British Camp Farms,51760070802,1158812.7240002363,1165753.1252533838,3030409.171223563,0.9940464227778596,0.3823948049669979
British Camp Farms,51760070900,6940.401253142974,1165753.1252533838,8187195.674095676,0.005953577222136492,0.0008477141049776586
Broad Rock,51760060700,331498.8218480364,641380.2034233614,7811275.926171071,0.5168522821232464,0.04243849852203728
Broad Rock,51760060400,297761.22681403626,641380.2034233614,2371762.513870002,0.46425072870153805,0.12554428408103122
Broad Rock,51760070900,8618.079317355436,641380.2034233614,8187195.674095676,0.013436771623689834,0.0010526289660601465
Broad Rock,51760070602,3502.075443923759,641380.2034233614,2111514.6706515197,0.0054602175515107276,0.0016585607917387446
Broad Rock Industrial Park,51760070900,1737006.5356821811,2023945.5645365461,8187195.674095676,0.8582278921517982,0.21216135595464972
Broad Rock Industrial Park,51760060800,282299.93242293317,2023945.5645365461,7711586.873324584,0.13948000251062864,0.03660724271932235
Broad Rock Industrial Park,51760060700,4639.096431435443,2023945.5645365461,7811275.926171071,0.0022921053375749897,0.0005938973959289432
Broad Rock Sports Complex,51760070801,278597.50562820194,281028.6692968479,6647953.854469337,0.991349054618773,0.041907256236579364
Broad Rock Sports Complex,51760070602,2431.1636686457546,281028.6692968479,2111514.6706515197,0.008650945381226353,0.001151383744776732
Brookbury,51760070801,938607.5827281887,954781.5047180043,6647953.854469337,0.983060080332628,0.14118743951526896
Brookbury,51760070802,16124.924415932988,954781.5047180043,3030409.171223563,0.016888601566172463,0.005321038679876474
Brookhaven Farms,51760070801,368254.24919947196,373615.1800209823,6647953.854469337,0.9856511964497554,0.055393622949398064
Brookhaven Farms,51760070700,5360.930821511143,373615.1800209823,4555459.300238117,0.014348803550246734,0.001176814557695845
Brookland Park,51760010700,463532.33373096975,677782.3976964154,1049228.9766873682,0.6838955029023782,0.4417837707784593
Brookland Park,51760010600,214211.6630574909,677782.3976964154,897573.8534239664,0.3160478404064989,0.23865630916090047
Brookland Park,51760010500,29.433455490640664,677782.3976964154,800397.1397255146,4.342611373602559e-05,3.6773564059379915e-05
Brookland Park,51760010800,8.967452461154895,677782.3976964154,1469637.8745151663,1.3230577382405694e-05,6.1018109404082005e-06
Bryan Park,51760010200,1424721.5449120733,1434442.1597336428,3948136.764527247,0.9932234180684048,0.36085921787531355
Byrd Park,51760041600,742743.7973923422,1077733.4459572525,3260982.2386773634,0.6891720769903643,0.22776689445987142
Byrd Park,51760041400,334989.2148901289,1077733.4459572525,626012.9113392226,0.310827520614421,0.5351155045244835
Byrd Park,51760041300,0.4336747792598552,1077733.4459572525,3221234.1444265633,4.023952127370988e-07,1.3463000819428388e-07
Capitol District,51760030500,267629.7982176779,385198.78742569545,2403167.0645333817,0.6947835947414644,0.1113654569286647
Capitol District,51760030200,114233.50905506896,385198.78742569545,1311450.9275507776,0.2965572914143831,0.08710467670216811
Capitol District,51760020500,3335.480152954361,385198.78742569545,1550204.3857878211,0.008659113844167468,0.0021516389603421578
Carillon,51760041600,1574296.0955681128,1832082.0713167847,3260982.2386773634,0.8592934346203215,0.4827674548165091
Carillon,51760060600,136203.16033435194,1832082.0713167847,2034808.1297108077,0.07434337274882982,0.06693661104730768
Carillon,51760050600,121582.56886994475,1832082.0713167847,6261607.434662799,0.06636305806025321,0.01941714969176956
Carillon,51760041300,0.22154474121644394,1832082.0713167847,3221234.1444265633,1.2092511830390413e-07,6.877635442917572e-08
Carillon,51760060500,0.024999619106534254,1832082.0713167847,4322746.708556418,1.3645468998321735e-08,5.783271792689163e-09
Carver,51760040200,574166.1145417958,581856.3381011651,4053091.4066305445,0.986783295023535,0.14166127948718463
Carver,51760011100,7690.2235593732685,581856.3381011651,2505520.527759378,0.013216704976471698,0.0030693117354941156
Carytown,51760040800,342213.18223750347,607398.9133001023,568881.6382270679,0.5634076300502426,0.601554276393976
Carytown,51760040900,240899.5564656945,607398.9133001023,669991.7544958609,0.39660847458031484,0.35955600177044084
Carytown,51760041600,18296.85977842584,607398.9133001023,3260982.2386773634,0.03012330015379163,0.00561084312616402
Carytown,51760041100,2661.04058104835,607398.9133001023,874023.59225297,0.004381042709790935,0.003044586673214378
Carytown,51760050300,1771.3308772673706,607398.9133001023,695638.9641050154,0.0029162562501856095,0.0025463364887076197
Carytown,51760050600,831.2763569620272,607398.9133001023,6261607.434662799,0.001368583872574879,0.00013275766097380602
Carytown,51760040700,711.351518421892,607398.9133001023,684963.3201567322,0.0011711438773523604,0.001038524980080863
Carytown,51760050100,14.315484787927252,607398.9133001023,1683370.581314876,2.356850576196913e-05,8.504060215158011e-06
Cedarhurst,51760071100,1272561.933242056,1276166.5732983241,4439249.89561082,0.9971754157085061,0.28666147731405367
Cedarhurst,51760060600,3565.2155689298966,1276166.5732983241,2034808.1297108077,0.0027936913907056797,0.0017521138808486059
Cedarhurst,51760071002,39.424487335986996,1276166.5732983241,2262893.7464453746,3.089290078652679e-05,1.7422155767550392e-05
Central Office,51760030500,334867.5395498323,334867.53954983223,2403167.0645333817,1.0000000000000002,0.13934426136738556
Chamberlayne Industrial Center,51760011100,1085404.8451893614,1085619.998880165,2505520.527759378,0.999801814915877,0.433205329257474
Chamberlayne Industrial Center,51760030100,212.911794228776,1085619.998880165,672682.8078433793,0.00019612000004458102,0.00031651142521595143
Chamberlayne Industrial Center,51760011000,2.2418965811023144,1085619.998880165,1304079.636864637,2.0650840841315266e-06,1.7191408543825169e-06
Cherry Gardens,51760070900,269319.34137648426,269319.3413764842,8187195.674095676,1.0000000000000002,0.03289518805915582
Chimborazo,51760020800,445639.3754397289,786512.5704269388,795112.8937686451,0.5666017202977756,0.5604730836743255
Chimborazo,51760020900,337765.79874853085,786512.5704269388,2743977.6934007304,0.42944742582459056,0.12309349291025871
Chimborazo,51760021100,3106.9677648072366,786512.5704269388,1552064.589931711,0.003950309100744183,0.0020018289090300936
Chimborazo,51760021000,0.428473876933275,786512.5704269388,812987.0628908629,5.447768961921214e-07,5.270365255379153e-07
Chippenham Forest,51760070300,845473.659858904,850975.5782036604,3539771.463646478,0.9935345755087701,0.23884978692605863
Chippenham Forest,51760070400,5483.6469817672105,850975.5782036604,7802046.963650795,0.006443953413260976,0.0007028472152648079
Church Hill,51760020800,344041.2684873869,880257.3088880958,795112.8937686451,0.39084170618471253,0.43269486784035593
Church Hill,51760020600,323287.1587128432,880257.3088880958,473838.4973054235,0.3672643844573197,0.6822728852790132
Church Hill,51760020500,188313.75614834236,880257.3088880958,1550204.3857878211,0.21393035223554396,0.12147672776234628
Church Hill,51760020900,24615.125539522804,880257.3088880958,2743977.6934007304,0.027963557122423217,0.008970599724160372
Church Hill North,51760020700,355981.4060105684,985563.9908967158,490305.90788178606,0.3611956294047214,0.7260393976251992
Church Hill North,51760020900,329394.093683307,985563.9908967158,2743977.6934007304,0.3342188804844703,0.12004255518384868
Church Hill North,51760020300,225853.82626406115,985563.9908967158,811424.7318650569,0.22916201114304913,0.27834230014771294
Church Hill North,51760020600,74307.0835777404,985563.9908967158,473838.4973054235,0.07539549360983863,0.1568194310937215
Church Hill North,51760020200,27.58136103378166,985563.9908967158,1001404.1242280848,2.7985357915407145e-05,2.7542687678705418e-05
City Center,51760030500,245601.5669144038,448184.99798943143,2403167.0645333817,0.5479914946198072,0.10219912320664722
City Center,51760030200,202583.43107502113,448184.99798943143,1311450.9275507776,0.45200850538017834,0.1544727498522261
Cofer,51760070900,453316.8840613319,457424.6890798067,8187195.674095676,0.9910197129351755,0.05536900571408456
Cofer,51760060700,4107.80501847493,457424.6890798067,7811275.926171071,0.00898028706482488,0.0005258814382311153
Colonial Place,51760050200,724758.5569404839,957925.200371373,1694395.0253835348,0.7565920143446545,0.4277388366248485
Colonial Place,51760050100,162760.02477914758,957925.200371373,1683370.581314876,0.16990890804005157,0.09668698418860106
Colonial Place,51760050400,69585.0777472282,957925.200371373,1892058.8714020902,0.07264145229737262,0.03677743795343055
Colonial Place,51760040700,821.5409045211118,957925.200371373,684963.3201567322,0.0008576253179294301,0.0011993940118328206
Commerce Road Industrial Area,51760060800,5220246.387610492,7016228.005942515,7711586.873324584,0.7440246216612566,0.676935431495692
Commerce Road Industrial Area,51760060900,1752618.5625450192,7016228.005942515,3094151.120809558,0.24979498400858818,0.5664295291713036
Commerce Road Industrial Area,51760060700,30785.841856417133,7016228.005942515,7811275.926171071,0.004387805218180272,0.003941205271378466
Cottrell Farms,51760070802,1722487.0444841508,1722589.7177297983,3030409.171223563,0.9999403959952908,0.5684008155864565
Cottrell Farms,51760070900,62.832110166353836,1722589.7177297983,8187195.674095676,3.647537746199966e-05,7.674436115549908e-06
Country Club of Virginia,51760050500,745009.9105280737,755869.8148675698,4304410.308646677,0.985632573062335,0.1730805980627594
Country Club of Virginia,51760050600,150.45728875441304,755869.8148675698,6261607.434662799,0.00019905185495570227,2.4028540646211158e-05
Creighton,51760020200,330376.55463353026,357174.9450157587,1001404.1242280848,0.9249712479663262,0.32991331535427354
Creighton,51760020900,26785.19661050893,357174.9450157587,2743977.6934007304,0.07499181279170396,0.009761448380184489
Cullenwood,51760070900,412429.7442927581,412429.7442927583,8187195.674095676,0.9999999999999996,0.05037497095589002
Davee Gardens,51760060800,367093.82211269235,367093.8221126923,7711586.873324584,1.0000000000000002,0.04760289005918084
Deerbourne,51760070900,770225.2372485882,770235.3816815899,8187195.674095676,0.9999868294378018,0.09407680821475714
Deerbourne,51760070802,10.144432998225719,770235.3816815899,3030409.171223563,1.3170562193700106e-05,3.3475456365946075e-06
Eastview,51760020200,188134.47632999107,213208.72476856437,1001404.1242280848,0.8823957675006447,0.18787068255287176
Eastview,51760020100,21403.650299150686,213208.72476856437,872280.9973279315,0.10038824781858295,0.024537563428203454
Eastview,51760020400,3638.7089507391015,213208.72476856437,1754081.165147273,0.01706641674579161,0.00207442450385903
Edgewood,51760010500,388343.9552836513,399739.28974541614,800397.1397255146,0.9714930837320939,0.4851890842798722
Edgewood,51760010300,6441.909855698201,399739.28974541614,1243482.026261026,0.016115278184941215,0.005180541189701076
Edgewood,51760010700,4927.783680632079,399739.28974541614,1049228.9766873682,0.012327493961803104,0.004696576047861455
Edgewood,51760010600,9.073504552327615,399739.28974541614,897573.8534239664,2.2698555746437387e-05,1.0108922533466191e-05
Elkhardt,51760070700,606018.8795301701,606018.8795301704,4555459.300238117,0.9999999999999997,0.13303134537904732
Fairfield,51760020200,223766.20057547902,223822.21896730497,1001404.1242280848,0.999749719254485,0.22345244558281138
Fairmount,51760020300,240943.13154637313,451261.90115397313,811424.7318650569,0.5339319161006725,0.2969383629613633
Fairmount,51760020400,210311.76443297975,451261.90115397313,1754081.165147273,0.4660525603760646,0.11989853640285905
Fairmount,51760020500,6.190929235292675,451261.90115397313,1550204.3857878211,1.371914894534891e-05,3.993621287651316e-06
Fairmount,51760020700,0.8142453844051909,451261.90115397313,490305.90788178606,1.8043743163847677e-06,1.6606885034750743e-06
Fawnbrook,51760070801,725743.1997753173,725743.1997753173,6647953.854469337,1.0,0.10916790574402216
Forest Hill,51760060500,1259972.6831910182,1464504.4388775548,4322746.708556418,0.8603406379271226,0.2914750199675211
Forest Hill,51760060600,180243.42355374087,1464504.4388775548,2034808.1297108077,0.12307468572228122,0.08858005869052506
Forest Hill,51760041300,24288.332132793847,1464504.4388775548,3221234.1444265633,0.016584676350594907,0.0075400703717294045
Forest Hill Park,51760060500,450437.5467073487,450446.5764216943,4322746.708556418,0.9999799538617491,0.10420169791946297
Forest Hill Park,51760060400,9.029714347088401,450446.5764216943,2371762.513870002,2.0046138254217872e-05,3.8071747463259415e-06
Forest Hill Terrace,51760060500,352904.23336687405,620433.7146461791,4322746.708556418,0.5688024764549235,0.08163888776280544
Forest Hill Terrace,51760060600,267529.4116165081,620433.7146461791,2034808.1297108077,0.4311974112642714,0.1314764806127102
Forest Hill Terrace,51760060400,0.06966280052282503,620433.7146461791,2371762.513870002,1.1228081079145148e-07,2.9371743635983324e-08
Forest View,51760060600,433321.2699132827,502462.4648124115,2034808.1297108077,0.8623953036473244,0.21295436340470464
Forest View,51760060500,68410.2726205351,502462.4648124115,4322746.708556418,0.13615001599388182,0.01582564911451421
Forest View,51760071002,730.9222786059668,502462.4648124115,2262893.7464453746,0.001454680358818142,0.0003230033578704801
Fulton,51760021100,1093573.9659070636,2817399.565801151,1552064.589931711,0.3881501151563132,0.7045930775053502
Fulton,51760021200,910134.5486593569,2817399.565801151,910280.669910711,0.32304063637510805,0.9998394767062686
Fulton,51760021000,811382.2251975838,2817399.565801151,812987.0628908629,0.2879897601485079,0.9980259984856676
Fulton,51760020800,191.20985565224498,2817399.565801151,795112.8937686451,6.786749667077232e-05,0.00024048139220325803
Fulton,51760020900,47.28493528995128,2817399.565801151,2743977.6934007304,1.6783183991336142e-05,1.723225935971404e-05
Gambles Hill,51760030500,447624.41107762564,455360.06844845536,2403167.0645333817,0.9830119988404179,0.18626437490917427
Gambles Hill,51760041200,6552.948175725118,455360.06844845536,318619.82595448283,0.014390695692867678,0.02056666799090291
Gambles Hill,51760041300,1182.7091951017007,455360.06844845536,3221234.1444265633,0.0025973054667079967,0.00036716026903789196
Gilpin,51760030100,650828.8457071383,655388.2794486583,672682.8078433793,0.9930431564242259,0.9675122332822734
Gilpin,51760011100,2749.75445866278,655388.2794486583,2505520.527759378,0.004195611280958511,0.001097478319653527
Gilpin,51760020400,1736.5922311051056,655388.2794486583,1754081.165147273,0.0026497151163063274,0.0009900295753756075
Gilpin,51760011000,72.76618060496502,655388.2794486583,1304079.636864637,0.00011102758912042057,5.5798878034714776e-05
Gilpin,51760010900,0.3208711445884074,655388.2794486583,1881098.42255181,4.895893848732517e-07,1.7057647847746775e-07
Ginter Park,51760010402,880475.5176123838,2207179.3977361727,2206820.8843515893,0.3989143422213242,0.3989791486276813
Ginter Park,51760010401,550172.4327912765,2207179.3977361727,1384203.917293669,0.24926493666784372,0.39746487198717656
Ginter Park,51760010500,411963.0518086594,2207179.3977361727,800397.1397255146,0.1866468363338275,0.5146983058309486
Ginter Park,51760010200,364509.7816776912,2207179.3977361727,3948136.764527247,0.16514732878150107,0.09232450733538303
Ginter Park,51760010300,32.479365271373176,2207179.3977361727,1243482.026261026,1.471532640468017e-05,2.611969018083359e-05
Ginter Park,51760010600,23.689895653262354,2207179.3977361727,897573.8534239664,1.073310836335291e-05,2.6393255065187934e-05
Ginter Park Terrace,51760010600,160264.7022031304,161542.14444754802,897573.8534239664,0.9920922044907458,0.1785532205419868
Ginter Park Terrace,51760010402,1259.5741687319535,161542.14444754802,2206820.8843515893,0.00779718613393133,0.0005707641148692696
Ginter Park Terrace,51760010500,17.868075679114796,161542.14444754802,800397.1397255146,0.00011060937528235226,2.232401240869303e-05
Gravel Hill,51760070400,1319205.312216159,1363962.4409019386,7802046.963650795,0.9671859522347379,0.1690845131235747
Gravel Hill,51760071100,44757.1286857796,1363962.4409019386,4439249.89561082,0.032814047765262026,0.010082137689529919
Green Park,51760010800,206870.81815628288,357818.33548140584,1469637.8745151663,0.5781448227854522,0.14076312385765752
Green Park,51760011000,150923.93099958292,357818.33548140584,1304079.636864637,0.4217892601745271,0.11573214298663938
Green Park,51760010700,23.504952487611465,357818.33548140584,1049228.9766873682,6.568962559167936e-05,2.2402119089220578e-05
Green Park,51760010900,0.08137304954806467,357818.33548140584,1881098.42255181,2.2741442089205975e-07,4.3258262604716766e-08
Hickory Hill,51760070900,1039200.7923106361,1100178.3325648552,8187195.674095676,0.9445748580486387,0.12693000554495992
Hickory Hill,51760070802,60977.540254223655,1100178.3325648552,3030409.171223563,0.055425141951365456,0.020121883484665953
Highland Park Southern Tip,51760010900,870186.9517878146,1279030.8640431822,1881098.42255181,0.6803486735551016,0.4625951206781407
Highland Park Southern Tip,51760011000,406752.3399531746,1279030.8640431822,1304079.636864637,0.3180160474528173,0.3119075924926779
Highland Park Southern Tip,51760030100,2000.4521947213095,1279030.8640431822,672682.8078433793,0.0015640374684920588,0.0029738417146927807
Highland Park Southern Tip,51760010800,81.77546686906598,1279030.8640431822,1469637.8745151663,6.393549144745665e-05,5.564327667864692e-05
Highland Park Southern Tip,51760010700,9.344640595709516,1279030.8640431822,1049228.9766873682,7.306032136057997e-06,8.906197601606914e-06
Highland Terrace,51760010800,292018.5538658588,292043.70741842187,1469637.8745151663,0.9999138705888053,0.19870102623899494
Highland Terrace,51760010700,25.153512385319374,292043.70741842187,1049228.9766873682,8.612927362027015e-05,2.3973329887184575e-05
Highland Terrace,51760010900,4.017329915398114e-05,292043.70741842187,1881098.42255181,1.375592013575672e-10,2.1356298358638737e-11
Hillside Court,51760060700,400773.81396133604,400773.8139613361,7811275.926171071,0.9999999999999999,0.051307087055851484
Hioaks,51760071001,809201.0355720114,809539.3095211441,2750170.8392499443,0.9995821401812682,0.2942366430562202
Hollywood Cemetery,51760041300,1621949.0240940866,1738111.6543463592,3221234.1444265633,0.9331673371145094,0.5035178913958837
Hollywood Cemetery,51760061000,104453.41971117606,1738111.6543463592,4051070.3946906766,0.06009592044905608,0.025784153207525713
Hollywood Cemetery,51760060500,11044.185750465036,1738111.6543463592,4322746.708556418,0.006354129047376047,0.002554900042744638
Hollywood Cemetery,51760041200,665.0247906305764,1738111.6543463592,318619.82595448283,0.00038261338905794755,0.0020872046761006642
Huguenot,51760070100,6330428.118879246,6330737.9333678,10257469.734835906,0.9999510618680136,0.617152990213577
Jackson Ward,51760030200,485476.345182958,496562.7581466216,1311450.9275507776,0.9776736922337014,0.37018262367591415
Jackson Ward,51760030100,6376.738552802323,496562.7581466216,672682.8078433793,0.012841757558708106,0.009479562252001271
Jackson Ward,51760040200,4637.207217605609,496562.7581466216,4053091.4066305445,0.009338612575203166,0.0011441161208502468
Jackson Ward,51760011100,72.46719325839945,496562.7581466216,2505520.527759378,0.00014593763239288647,2.8923009193305226e-05
Jahnke,51760071100,721294.2757771969,1530314.4039443936,4439249.89561082,0.4713373107631066,0.16248111567009457
Jahnke,51760071001,615293.9034385439,1530314.4039443936,2750170.8392499443,0.40207025553220993,0.2237293387949504
Jahnke,51760071002,193726.22472865964,1530314.4039443936,2262893.7464453746,0.1265924337046879,0.08560995187377708
Jeff Davis,51760060800,1335737.7442314376,2455631.404275545,7711586.873324584,0.5439487953712272,0.1732117871682071
Jeff Davis,51760060900,1107518.8468096557,2455631.404275545,3094151.120809558,0.4510118435858632,0.3579394811588527
Jeff Davis,51760070900,9272.16127645117,2455631.404275545,8187195.674095676,0.003775876648387555,0.0011325198084355464
John Marshall,51760010300,336893.85528768424,494534.5809294484,1243482.026261026,0.6812341710351422,0.27092780448196446
John Marshall,51760010200,88208.13376972752,494534.5809294484,3948136.764527247,0.17836595694470053,0.02234171180751628
John Marshall,51760010401,69431.14714733712,494534.5809294484,1384203.917293669,0.14039695063759827,0.05015962336177004
Laburnum Park,51760010402,675844.4560143644,682205.951499515,2206820.8843515893,0.990675109955919,0.3062525195437154
Laburnum Park,51760010401,6361.495485150844,682205.951499515,1384203.917293669,0.009324890044081309,0.0045957791375049305
Magnolia Industrial Center,51760010900,452976.0868722106,468703.20175529004,1881098.42255181,0.9664454716242997,0.24080403313385615
Magnolia Industrial Center,51760020100,12833.419288134657,468703.20175529004,872280.9973279315,0.027380694734052587,0.014712482935484574
Malvern Gardens,51760050100,519811.43808481336,601573.9845200165,1683370.581314876,0.864085634453691,0.3087920413096385
Malvern Gardens,51760050200,81592.22329725872,601573.9845200165,1694395.0253835348,0.1356312363845978,0.048154191953431826
Malvern Gardens,51760040700,170.32313791071783,601573.9845200165,684963.3201567322,0.0002831291616551789,0.00024866023172123253
Manchester,51760061000,817001.8381800121,818180.8343427771,4051070.3946906766,0.9985590029571981,0.20167554709757027
Manchester,51760030500,1178.996162766621,818180.8343427771,2403167.0645333817,0.0014409970428037185,0.0004906009990593577
Mary Munford,51760050300,693818.3749392872,727917.0914543238,695638.9641050154,0.9531557688157727,0.9973828533770093
Mary Munford,51760050400,25960.298912693506,727917.0914543238,1892058.8714020902,0.035663812840040304,0.013720661288650021
Mary Munford,51760050200,6660.591215433458,727917.0914543238,1694395.0253835348,0.009150205831993993,0.003930955364983912
Mary Munford,51760050100,1446.6919729934896,727917.0914543238,1683370.581314876,0.001987440589014207,0.0008594019576268718
Mary Munford,51760050600,31.134413918463785,727917.0914543238,6261607.434662799,4.2771923181882645e-05,4.972271775792096e-06
Maury,51760060700,1543057.548009915,1543326.1814519553,7811275.926171071,0.9998259386477928,0.1975423173620101
Maury,51760070900,213.5825722623687,1543326.1814519553,8187195.674095676,0.00013839107690211737,2.6087390696932397e-05
Maury,51760060400,38.878388898195524,1543326.1814519553,2371762.513870002,2.519129744926564e-05,1.639219300871642e-05
Maury,51760061000,13.179507538429949,1543326.1814519553,4051070.3946906766,8.539677287163442e-06,3.253339550875981e-06
Maury,51760060800,2.9929733556922287,1543326.1814519553,7711586.873324584,1.9393005779740295e-06,3.8811380911046024e-07
Maymont,51760041300,584706.1322292297,589164.3826214232,3221234.1444265633,0.9924329261515147,0.18151618479547618
Maymont,51760060500,4070.8606478793818,589164.3826214232,4322746.708556418,0.006909549809794216,0.0009417300902274809
Maymont,51760041600,379.3770520957711,589164.3826214232,3260982.2386773634,0.0006439239425977754,0.00011633827611696664
Maymont,51760041400,8.012692223079343,589164.3826214232,626012.9113392226,1.360009610124043e-05,1.2799563839566629e-05
Maymont Park,51760041600,446269.5918937168,768062.8945419434,3260982.2386773634,0.5810326147311967,0.13685127953187542
Maymont Park,51760041300,252001.54080221168,768062.8945419434,3221234.1444265633,0.3281001368416581,0.07823136397527303
Maymont Park,51760060500,69790.5081428546,768062.8945419434,4322746.708556418,0.09086561613482994,0.016144945065763788
Maymont Park,51760060600,1.2537031700498038,768062.8945419434,2034808.1297108077,1.6322923278275095e-06,6.161284455984474e-07
McGuire,51760070602,572092.2703417287,885449.8350441745,2111514.6706515197,0.646103537094439,0.27093928273072637
McGuire,51760070900,312134.347280094,885449.8350441745,8187195.674095676,0.3525149985086641,0.03812469613590505
McGuire,51760070601,1223.2174223562622,885449.8350441745,3492927.154365332,0.0013814643969019846,0.00035019837754919397
McGuire Manor,51760070602,739939.433336276,760225.9758485117,2111514.6706515197,0.973315115298983,0.35043063807269853
McGuire Manor,51760070900,13161.125314599707,760225.9758485117,8187195.674095676,0.017312122622369183,0.0016075254383184669
McGuire Manor,51760070601,7125.417197637474,760225.9758485117,3492927.154365332,0.009372762078649807,0.0020399558544278227
McGuire Veterans Hospital,51760070900,721141.010109717,721146.0482113463,8187195.674095676,0.9999930137568642,0.08808156526555368
McGuire Veterans Hospital,51760070602,5.038101627483485,721146.0482113463,2111514.6706515197,6.9862431333839446e-06,2.3860130822245013e-06
Midlothian,51760070601,1786123.1285879123,3538096.835409114,3492927.154365332,0.5048259591745687,0.5113542452082579
Midlothian,51760070700,924246.1809357607,3538096.835409114,4555459.300238117,0.2612269318595089,0.2028875948661093
Midlothian,51760071001,472478.762872904,3538096.835409114,2750170.8392499443,0.1335403706717006,0.17179978644590801
Midlothian,51760071002,351515.64567386673,3538096.835409114,2262893.7464453746,0.09935161812302985,0.1553389973462248
Midlothian,51760070602,3728.368286667826,3538096.835409114,2111514.6706515197,0.0010537779094552991,0.0017657316515434947
Monroe Ward,51760030500,529111.7330450409,540400.7940210883,2403167.0645333817,0.9791098364381624,0.22017267998293638
Monroe Ward,51760040300,5918.631943287536,540400.7940210883,518169.3613065531,0.010952300604977592,0.011422195878899189
Monroe Ward,51760030200,5215.405184231266,540400.7940210883,1311450.9275507776,0.009650994672720157,0.003976820691241101
Monroe Ward,51760041200,100.07933016056032,540400.7940210883,318619.82595448283,0.0001851946393636403,0.00031410264524737194
Monroe Ward,51760040200,54.94451837210896,540400.7940210883,4053091.4066305445,0.00010167364478366187,1.3556200159272e-05
Monument Avenue Park,51760050200,431634.0505722508,431653.4199328438,1694395.0253835348,0.9999551275173586,0.2547422791651246
